1,8794
2,6645
3,5065
4,3934
5,3243
6,2330
7,1862
8,2007
9,1948
10,2141
11,2666
12,3842
13,4363
14,5201
15,4363
16,3683
17,3455
18,2707
19,1988
20,1632
21,919
22,565
23,392
24,282
25,242
26,312
27,485
28,849
29,1409
30,2146
31,2952
32,3559
33,3479
34,3633
35,3334
36,3106
37,3008
38,2498
39,2567
40,2292
41,2110
42,2079
43,2380
44,3054
45,3774
46,4327
47,3785
48,6139
49,298
